test_type,test_name,extra_param,n,d,h_label,mean_result
C2ST,LinearMMD_test,LL,200,10,Alternative,0.298
C2ST,CVLinearMMD_test,LL,200,10,Alternative,0.53
C2ST,CLF_test,LL,200,10,Alternative,0.102
C2ST,CVCLF_test,LL,200,10,Alternative,0.16
C2ST,CP_test,LL,200,10,Alternative,0.08
C2ST,debiased_test,LL,200,10,Alternative,0.076
CIT,RCIT_test,TRUE,200,10,Alternative,1
CIT,RCoT_test,TRUE,200,10,Alternative,1
CIT,PCM_test,TRUE,200,10,Alternative,0.998
CIT,GCM_test,TRUE,200,10,Alternative,0.086
CIT,WGSC_test,TRUE,200,10,Alternative,0.322
C2ST,LinearMMD_test,LL,200,10,Null,0.038
C2ST,CVLinearMMD_test,LL,200,10,Null,0.04
C2ST,CLF_test,LL,200,10,Null,0.094
C2ST,CVCLF_test,LL,200,10,Null,0.124
C2ST,CP_test,LL,200,10,Null,0.042
C2ST,debiased_test,LL,200,10,Null,0.048
CIT,RCIT_test,TRUE,200,10,Null,0.076
CIT,RCoT_test,TRUE,200,10,Null,0.074
CIT,PCM_test,TRUE,200,10,Null,0.066
CIT,GCM_test,TRUE,200,10,Null,0.05
CIT,WGSC_test,TRUE,200,10,Null,0.028
C2ST,LinearMMD_test,LL,500,10,Alternative,0.632
C2ST,CVLinearMMD_test,LL,500,10,Alternative,0.916
C2ST,CLF_test,LL,500,10,Alternative,0.168
C2ST,CVCLF_test,LL,500,10,Alternative,0.244
C2ST,CP_test,LL,500,10,Alternative,0.14
C2ST,debiased_test,LL,500,10,Alternative,0.148
CIT,RCIT_test,TRUE,500,10,Alternative,1
CIT,RCoT_test,TRUE,500,10,Alternative,1
CIT,PCM_test,TRUE,500,10,Alternative,1
CIT,GCM_test,TRUE,500,10,Alternative,0.194
CIT,WGSC_test,TRUE,500,10,Alternative,0.34
C2ST,LinearMMD_test,LL,500,10,Null,0.058
C2ST,CVLinearMMD_test,LL,500,10,Null,0.062
C2ST,CLF_test,LL,500,10,Null,0.086
C2ST,CVCLF_test,LL,500,10,Null,0.122
C2ST,CP_test,LL,500,10,Null,0.064
C2ST,debiased_test,LL,500,10,Null,0.074
CIT,RCIT_test,TRUE,500,10,Null,0.11
CIT,RCoT_test,TRUE,500,10,Null,0.12
CIT,PCM_test,TRUE,500,10,Null,0.066
CIT,GCM_test,TRUE,500,10,Null,0.086
CIT,WGSC_test,TRUE,500,10,Null,0.02
C2ST,LinearMMD_test,LL,1000,10,Alternative,0.944
C2ST,CVLinearMMD_test,LL,1000,10,Alternative,1
C2ST,CLF_test,LL,1000,10,Alternative,0.244
C2ST,CVCLF_test,LL,1000,10,Alternative,0.324
C2ST,CP_test,LL,1000,10,Alternative,0.19
C2ST,debiased_test,LL,1000,10,Alternative,0.168
CIT,RCIT_test,TRUE,1000,10,Alternative,1
CIT,RCoT_test,TRUE,1000,10,Alternative,1
CIT,PCM_test,TRUE,1000,10,Alternative,1
CIT,GCM_test,TRUE,1000,10,Alternative,0.276
CIT,WGSC_test,TRUE,1000,10,Alternative,0.4
C2ST,LinearMMD_test,LL,1000,10,Null,0.078
C2ST,CVLinearMMD_test,LL,1000,10,Null,0.056
C2ST,CLF_test,LL,1000,10,Null,0.096
C2ST,CVCLF_test,LL,1000,10,Null,0.118
C2ST,CP_test,LL,1000,10,Null,0.048
C2ST,debiased_test,LL,1000,10,Null,0.058
CIT,RCIT_test,TRUE,1000,10,Null,0.148
CIT,RCoT_test,TRUE,1000,10,Null,0.164
CIT,PCM_test,TRUE,1000,10,Null,0.072
CIT,GCM_test,TRUE,1000,10,Null,0.098
CIT,WGSC_test,TRUE,1000,10,Null,0.012
C2ST,LinearMMD_test,LL,2000,10,Alternative,1
C2ST,CVLinearMMD_test,LL,2000,10,Alternative,1
C2ST,CLF_test,LL,2000,10,Alternative,0.306
C2ST,CVCLF_test,LL,2000,10,Alternative,0.524
C2ST,CP_test,LL,2000,10,Alternative,0.306
C2ST,debiased_test,LL,2000,10,Alternative,0.312
CIT,RCIT_test,TRUE,2000,10,Alternative,1
CIT,RCoT_test,TRUE,2000,10,Alternative,1
CIT,PCM_test,TRUE,2000,10,Alternative,1
CIT,GCM_test,TRUE,2000,10,Alternative,0.476
CIT,WGSC_test,TRUE,2000,10,Alternative,0.386
C2ST,LinearMMD_test,LL,2000,10,Null,0.076
C2ST,CVLinearMMD_test,LL,2000,10,Null,0.08
C2ST,CLF_test,LL,2000,10,Null,0.084
C2ST,CVCLF_test,LL,2000,10,Null,0.118
C2ST,CP_test,LL,2000,10,Null,0.042
C2ST,debiased_test,LL,2000,10,Null,0.08
CIT,RCIT_test,TRUE,2000,10,Null,0.28
CIT,RCoT_test,TRUE,2000,10,Null,0.312
CIT,PCM_test,TRUE,2000,10,Null,0.07
CIT,GCM_test,TRUE,2000,10,Null,0.134
CIT,WGSC_test,TRUE,2000,10,Null,0.022
