test_type,test_name,extra_param,regressor,n,d,h_label,mean_result
C2ST,CLF_test,KLR,,1000,10,Null,0.034
C2ST,CP_test,LL,,1000,10,Null,0.06
C2ST,CP_test,QL,,1000,10,Null,0.03
C2ST,CP_test,KLR,,1000,10,Null,0.052
C2ST,debiased_test,LL,,1000,10,Null,0.064
C2ST,debiased_test,QL,,1000,10,Null,1
C2ST,debiased_test,KLR,,1000,10,Null,1
C2ST,CVLinearMMD_test,LL,,1000,10,Null,0.036
C2ST,CVLinearMMD_test,QL,,1000,10,Null,0.05
C2ST,CVLinearMMD_test,KLR,,1000,10,Null,0.042
C2ST,CVCLF_test,LL,,1000,10,Null,0.05
C2ST,CVCLF_test,QL,,1000,10,Null,0.418
C2ST,CVCLF_test,KLR,,1000,10,Null,0.05
C2ST,LinearMMD_test,LL,,2000,10,Alternative,0.148
C2ST,LinearMMD_test,QL,,2000,10,Alternative,0.13
C2ST,LinearMMD_test,KLR,,2000,10,Alternative,0.15
C2ST,CLF_test,LL,,2000,10,Alternative,0.916
C2ST,CLF_test,QL,,2000,10,Alternative,0.79
C2ST,CLF_test,KLR,,2000,10,Alternative,0.9
C2ST,CP_test,LL,,2000,10,Alternative,0.996
C2ST,CP_test,QL,,2000,10,Alternative,0.988
C2ST,CP_test,KLR,,2000,10,Alternative,1
C2ST,debiased_test,LL,,2000,10,Alternative,0.994
C2ST,debiased_test,QL,,2000,10,Alternative,1
C2ST,debiased_test,KLR,,2000,10,Alternative,1
C2ST,CVLinearMMD_test,LL,,2000,10,Alternative,0.202
C2ST,CVLinearMMD_test,QL,,2000,10,Alternative,0.18
C2ST,CVLinearMMD_test,KLR,,2000,10,Alternative,0.208
C2ST,CVCLF_test,LL,,2000,10,Alternative,0.992
C2ST,CVCLF_test,QL,,2000,10,Alternative,0.966
C2ST,CVCLF_test,KLR,,2000,10,Alternative,0.998
C2ST,LinearMMD_test,LL,,2000,10,Null,0.044
C2ST,LinearMMD_test,QL,,2000,10,Null,0.042
C2ST,LinearMMD_test,KLR,,2000,10,Null,0.046
C2ST,CLF_test,LL,,2000,10,Null,0.056
C2ST,CLF_test,QL,,2000,10,Null,0.21
C2ST,CLF_test,KLR,,2000,10,Null,0.036
C2ST,CP_test,LL,,2000,10,Null,0.062
C2ST,CP_test,QL,,2000,10,Null,0.02
C2ST,CP_test,KLR,,2000,10,Null,0.056
C2ST,debiased_test,LL,,2000,10,Null,0.058
C2ST,debiased_test,QL,,2000,10,Null,1
C2ST,debiased_test,KLR,,2000,10,Null,1
C2ST,CVLinearMMD_test,LL,,2000,10,Null,0.036
C2ST,CVLinearMMD_test,QL,,2000,10,Null,0.044
C2ST,CVLinearMMD_test,KLR,,2000,10,Null,0.036
C2ST,CVCLF_test,LL,,2000,10,Null,0.058
C2ST,CVCLF_test,QL,,2000,10,Null,0.288
C2ST,CVCLF_test,KLR,,2000,10,Null,0.04
CIT,RCIT_test,TRUE,,200,10,Null,0.144
CIT,RCIT_test,FALSE,,200,10,Null,0.142
CIT,PCM_test,TRUE,lm,200,10,Null,0.05
CIT,PCM_test,TRUE,rf,200,10,Null,0.062
CIT,PCM_test,TRUE,xgboost,200,10,Null,0.078
CIT,PCM_test,FALSE,lm,200,10,Null,0.05
CIT,PCM_test,FALSE,rf,200,10,Null,0.064
CIT,PCM_test,FALSE,xgboost,200,10,Null,0.082
CIT,GCM_test,TRUE,lm,200,10,Null,0.044
CIT,GCM_test,TRUE,rf,200,10,Null,0.042
CIT,GCM_test,TRUE,xgboost,200,10,Null,0.102
CIT,GCM_test,FALSE,lm,200,10,Null,0.046
CIT,GCM_test,FALSE,rf,200,10,Null,0.06
CIT,GCM_test,FALSE,xgboost,200,10,Null,0.1
CIT,WGSC_test,TRUE,lm,200,10,Null,0
CIT,WGSC_test,TRUE,rf,200,10,Null,0.076
CIT,WGSC_test,TRUE,xgboost,200,10,Null,0.004
CIT,WGSC_test,FALSE,lm,200,10,Null,0.002
CIT,WGSC_test,FALSE,rf,200,10,Null,0.046
CIT,WGSC_test,FALSE,xgboost,200,10,Null,0.01
CIT,RCIT_test,TRUE,,200,10,Alternative,0.51
CIT,RCIT_test,FALSE,,200,10,Alternative,0.6
CIT,PCM_test,TRUE,lm,200,10,Alternative,0.044
CIT,PCM_test,TRUE,rf,200,10,Alternative,0.274
CIT,PCM_test,TRUE,xgboost,200,10,Alternative,0.134
CIT,PCM_test,FALSE,lm,200,10,Alternative,0.06
CIT,PCM_test,FALSE,rf,200,10,Alternative,0.404
CIT,PCM_test,FALSE,xgboost,200,10,Alternative,0.216
CIT,GCM_test,TRUE,lm,200,10,Alternative,0.436
CIT,GCM_test,TRUE,rf,200,10,Alternative,0.32
CIT,GCM_test,TRUE,xgboost,200,10,Alternative,0.394
CIT,GCM_test,FALSE,lm,200,10,Alternative,0.494
CIT,GCM_test,FALSE,rf,200,10,Alternative,0.382
CIT,GCM_test,FALSE,xgboost,200,10,Alternative,0.53
CIT,WGSC_test,TRUE,lm,200,10,Alternative,0.002
CIT,WGSC_test,TRUE,rf,200,10,Alternative,0.08
CIT,WGSC_test,TRUE,xgboost,200,10,Alternative,0
CIT,WGSC_test,FALSE,lm,200,10,Alternative,0
CIT,WGSC_test,FALSE,rf,200,10,Alternative,0.082
CIT,WGSC_test,FALSE,xgboost,200,10,Alternative,0.022
CIT,RCIT_test,TRUE,,500,10,Null,0.086
CIT,RCIT_test,FALSE,,500,10,Null,0.094
CIT,PCM_test,TRUE,lm,500,10,Null,0.054
CIT,PCM_test,TRUE,rf,500,10,Null,0.048
CIT,PCM_test,TRUE,xgboost,500,10,Null,0.072
CIT,PCM_test,FALSE,lm,500,10,Null,0.06
CIT,PCM_test,FALSE,rf,500,10,Null,0.054
CIT,PCM_test,FALSE,xgboost,500,10,Null,0.06
CIT,GCM_test,TRUE,lm,500,10,Null,0.036
CIT,GCM_test,TRUE,rf,500,10,Null,0.042
CIT,GCM_test,TRUE,xgboost,500,10,Null,0.072
CIT,GCM_test,FALSE,lm,500,10,Null,0.032
CIT,GCM_test,FALSE,rf,500,10,Null,0.04
CIT,GCM_test,FALSE,xgboost,500,10,Null,0.05
CIT,WGSC_test,TRUE,lm,500,10,Null,0
CIT,WGSC_test,TRUE,rf,500,10,Null,0.176
CIT,WGSC_test,TRUE,xgboost,500,10,Null,0.002
CIT,WGSC_test,FALSE,lm,500,10,Null,0
CIT,WGSC_test,FALSE,rf,500,10,Null,0.032
CIT,WGSC_test,FALSE,xgboost,500,10,Null,0.002
CIT,RCIT_test,TRUE,,500,10,Alternative,0.78
CIT,RCIT_test,FALSE,,500,10,Alternative,0.824
CIT,PCM_test,TRUE,lm,500,10,Alternative,0.058
CIT,PCM_test,TRUE,rf,500,10,Alternative,0.622
CIT,PCM_test,TRUE,xgboost,500,10,Alternative,0.276
CIT,PCM_test,FALSE,lm,500,10,Alternative,0.04
CIT,PCM_test,FALSE,rf,500,10,Alternative,0.72
CIT,PCM_test,FALSE,xgboost,500,10,Alternative,0.266
CIT,GCM_test,TRUE,lm,500,10,Alternative,0.736
CIT,GCM_test,TRUE,rf,500,10,Alternative,0.578
CIT,GCM_test,TRUE,xgboost,500,10,Alternative,0.812
CIT,GCM_test,FALSE,lm,500,10,Alternative,0.762
CIT,GCM_test,FALSE,rf,500,10,Alternative,0.654
CIT,GCM_test,FALSE,xgboost,500,10,Alternative,0.882
CIT,WGSC_test,TRUE,lm,500,10,Alternative,0
CIT,WGSC_test,TRUE,rf,500,10,Alternative,0.17
CIT,WGSC_test,TRUE,xgboost,500,10,Alternative,0.016
CIT,WGSC_test,FALSE,lm,500,10,Alternative,0
CIT,WGSC_test,FALSE,rf,500,10,Alternative,0.09
CIT,WGSC_test,FALSE,xgboost,500,10,Alternative,0.006
CIT,RCIT_test,TRUE,,1000,10,Null,0.082
CIT,RCIT_test,FALSE,,1000,10,Null,0.046
CIT,PCM_test,TRUE,lm,1000,10,Null,0.054
CIT,PCM_test,TRUE,rf,1000,10,Null,0.038
CIT,PCM_test,TRUE,xgboost,1000,10,Null,0.058
CIT,PCM_test,FALSE,lm,1000,10,Null,0.086
CIT,PCM_test,FALSE,rf,1000,10,Null,0.022
CIT,PCM_test,FALSE,xgboost,1000,10,Null,0.066
CIT,GCM_test,TRUE,lm,1000,10,Null,0.05
CIT,GCM_test,TRUE,rf,1000,10,Null,0.06
CIT,GCM_test,TRUE,xgboost,1000,10,Null,0.072
CIT,GCM_test,FALSE,lm,1000,10,Null,0.064
CIT,GCM_test,FALSE,rf,1000,10,Null,0.054
CIT,GCM_test,FALSE,xgboost,1000,10,Null,0.078
CIT,WGSC_test,TRUE,lm,1000,10,Null,0
CIT,WGSC_test,TRUE,rf,1000,10,Null,0.264
CIT,WGSC_test,TRUE,xgboost,1000,10,Null,0
CIT,WGSC_test,FALSE,lm,1000,10,Null,0
CIT,WGSC_test,FALSE,rf,1000,10,Null,0.02
CIT,WGSC_test,FALSE,xgboost,1000,10,Null,0
CIT,RCIT_test,TRUE,,1000,10,Alternative,0.918
CIT,RCIT_test,FALSE,,1000,10,Alternative,0.928
CIT,PCM_test,TRUE,lm,1000,10,Alternative,0.044
CIT,PCM_test,TRUE,rf,1000,10,Alternative,0.88
CIT,PCM_test,TRUE,xgboost,1000,10,Alternative,0.422
CIT,PCM_test,FALSE,lm,1000,10,Alternative,0.056
CIT,PCM_test,FALSE,rf,1000,10,Alternative,0.946
CIT,PCM_test,FALSE,xgboost,1000,10,Alternative,0.544
CIT,GCM_test,TRUE,lm,1000,10,Alternative,0.886
CIT,GCM_test,TRUE,rf,1000,10,Alternative,0.798
CIT,GCM_test,TRUE,xgboost,1000,10,Alternative,0.972
CIT,GCM_test,FALSE,lm,1000,10,Alternative,0.916
CIT,GCM_test,FALSE,rf,1000,10,Alternative,0.852
CIT,GCM_test,FALSE,xgboost,1000,10,Alternative,0.994
CIT,WGSC_test,TRUE,lm,1000,10,Alternative,0
CIT,WGSC_test,TRUE,rf,1000,10,Alternative,0.266
