test_type,test_name,extra_param,n,h_label,mean_result
DRT,debiased_test,LL,1200,Alternative,0.852
DRT,debiased_test,LL,1200,Null,0.038
DRT,debiased_test,KLR,1200,Alternative,1
DRT,debiased_test,KLR,1200,Null,0.018
DRT,debiased_test,LL,1600,Alternative,0.868
DRT,debiased_test,LL,1600,Null,0.024
DRT,debiased_test,KLR,1600,Alternative,1
DRT,debiased_test,KLR,1600,Null,0.022
DRT,debiased_test,LL,2000,Alternative,0.844
DRT,debiased_test,LL,2000,Null,0.022
DRT,debiased_test,KLR,2000,Alternative,1
DRT,debiased_test,KLR,2000,Null,0.028
DRT,LinearMMD_test,LL,200,Alternative,0.094
DRT,LinearMMD_test,LL,200,Null,0.052
DRT,LinearMMD_test,KLR,200,Alternative,0.122
DRT,LinearMMD_test,KLR,200,Null,0.044
DRT,LinearMMD_test,LL,400,Alternative,0.088
DRT,LinearMMD_test,LL,400,Null,0.05
DRT,LinearMMD_test,KLR,400,Alternative,0.186
DRT,LinearMMD_test,KLR,400,Null,0.046
DRT,LinearMMD_test,LL,800,Alternative,0.112
DRT,LinearMMD_test,LL,800,Null,0.048
DRT,LinearMMD_test,KLR,800,Alternative,0.248
DRT,LinearMMD_test,KLR,800,Null,0.032
DRT,LinearMMD_test,LL,1200,Alternative,0.18
DRT,LinearMMD_test,LL,1200,Null,0.052
DRT,LinearMMD_test,KLR,1200,Alternative,0.382
DRT,LinearMMD_test,KLR,1200,Null,0.052
DRT,LinearMMD_test,LL,1600,Alternative,0.184
DRT,LinearMMD_test,LL,1600,Null,0.056
DRT,LinearMMD_test,KLR,1600,Alternative,0.442
DRT,LinearMMD_test,KLR,1600,Null,0.046
DRT,LinearMMD_test,LL,2000,Alternative,0.194
DRT,LinearMMD_test,LL,2000,Null,0.036
DRT,LinearMMD_test,KLR,2000,Alternative,0.498
DRT,LinearMMD_test,KLR,2000,Null,0.06
CIT,GCM_test,TRUE,200,Null,0.056
CIT,GCM_test,TRUE,200,Alternative,0.98
CIT,GCM_test,FALSE,200,Null,0.096
CIT,GCM_test,FALSE,200,Alternative,0.988
CIT,GCM_test,TRUE,400,Null,0.062
CIT,GCM_test,TRUE,400,Alternative,1
CIT,GCM_test,FALSE,400,Null,0.086
CIT,GCM_test,FALSE,400,Alternative,1
CIT,GCM_test,TRUE,800,Null,0.064
CIT,GCM_test,TRUE,800,Alternative,1
CIT,GCM_test,FALSE,800,Null,0.086
CIT,GCM_test,FALSE,800,Alternative,1
CIT,GCM_test,TRUE,1200,Null,0.09
CIT,GCM_test,TRUE,1200,Alternative,1
CIT,GCM_test,FALSE,1200,Null,0.094
CIT,GCM_test,FALSE,1200,Alternative,1
CIT,GCM_test,TRUE,1600,Null,0.066
CIT,GCM_test,TRUE,1600,Alternative,1
CIT,GCM_test,FALSE,1600,Null,0.108
CIT,GCM_test,FALSE,1600,Alternative,1
CIT,GCM_test,TRUE,2000,Null,0.08
CIT,GCM_test,TRUE,2000,Alternative,1
CIT,GCM_test,FALSE,2000,Null,0.104
CIT,GCM_test,FALSE,2000,Alternative,1
CIT,PCM_test,TRUE,200,Null,0.066
CIT,PCM_test,TRUE,200,Alternative,0.43
CIT,PCM_test,FALSE,200,Null,0.056
CIT,PCM_test,FALSE,200,Alternative,0.506
CIT,PCM_test,TRUE,400,Null,0.076
CIT,PCM_test,TRUE,400,Alternative,0.712
CIT,PCM_test,FALSE,400,Null,0.048
CIT,PCM_test,FALSE,400,Alternative,0.77
CIT,PCM_test,TRUE,800,Null,0.058
CIT,PCM_test,TRUE,800,Alternative,0.924
CIT,PCM_test,FALSE,800,Null,0.052
CIT,PCM_test,FALSE,800,Alternative,0.946
CIT,PCM_test,TRUE,1200,Null,0.07
CIT,PCM_test,TRUE,1200,Alternative,0.99
CIT,PCM_test,FALSE,1200,Null,0.064
CIT,PCM_test,FALSE,1200,Alternative,0.992
CIT,PCM_test,TRUE,1600,Null,0.052
CIT,PCM_test,TRUE,1600,Alternative,0.992
CIT,PCM_test,FALSE,1600,Null,0.064
CIT,PCM_test,FALSE,1600,Alternative,1
CIT,PCM_test,TRUE,2000,Null,0.1
CIT,PCM_test,TRUE,2000,Alternative,1
CIT,PCM_test,FALSE,2000,Null,0.018
CIT,PCM_test,FALSE,2000,Alternative,0.996
CIT,RCIT_test,TRUE,200,Null,0.082
CIT,RCIT_test,TRUE,200,Alternative,0.8
CIT,RCIT_test,FALSE,200,Null,0.102
CIT,RCIT_test,FALSE,200,Alternative,0.874
CIT,RCIT_test,TRUE,400,Null,0.064
CIT,RCIT_test,TRUE,400,Alternative,0.964
CIT,RCIT_test,FALSE,400,Null,0.088
CIT,RCIT_test,FALSE,400,Alternative,0.98
CIT,RCIT_test,TRUE,800,Null,0.054
CIT,RCIT_test,TRUE,800,Alternative,0.992
CIT,RCIT_test,FALSE,800,Null,0.054
CIT,RCIT_test,FALSE,800,Alternative,0.998
CIT,RCIT_test,TRUE,1200,Null,0.07
CIT,RCIT_test,TRUE,1200,Alternative,0.992
CIT,RCIT_test,FALSE,1200,Null,0.048
CIT,RCIT_test,FALSE,1200,Alternative,0.996
CIT,RCIT_test,TRUE,1600,Null,0.078
CIT,RCIT_test,TRUE,1600,Alternative,0.998
CIT,RCIT_test,FALSE,1600,Null,0.066
CIT,RCIT_test,FALSE,1600,Alternative,1
CIT,RCIT_test,TRUE,2000,Null,0.07
CIT,RCIT_test,TRUE,2000,Alternative,1
CIT,RCIT_test,FALSE,2000,Null,0.068
CIT,RCIT_test,FALSE,2000,Alternative,0.998
CIT,WGSC_test,TRUE,200,Null,0.02
CIT,WGSC_test,TRUE,200,Alternative,0.064
CIT,WGSC_test,FALSE,200,Null,0.01
CIT,WGSC_test,FALSE,200,Alternative,0.04
CIT,WGSC_test,TRUE,400,Null,0.008
CIT,WGSC_test,TRUE,400,Alternative,0.064
CIT,WGSC_test,FALSE,400,Null,0.006
CIT,WGSC_test,FALSE,400,Alternative,0.076
CIT,WGSC_test,TRUE,800,Null,0
CIT,WGSC_test,TRUE,800,Alternative,0.03
CIT,WGSC_test,FALSE,800,Null,0.002
CIT,WGSC_test,FALSE,800,Alternative,0.032
CIT,WGSC_test,TRUE,1200,Null,0.002
CIT,WGSC_test,TRUE,1200,Alternative,0.042
CIT,WGSC_test,FALSE,1200,Null,0
CIT,WGSC_test,FALSE,1200,Alternative,0.04
CIT,WGSC_test,TRUE,1600,Null,0
CIT,WGSC_test,TRUE,1600,Alternative,0.032
CIT,WGSC_test,FALSE,1600,Null,0
CIT,WGSC_test,FALSE,1600,Alternative,0.034
CIT,WGSC_test,TRUE,2000,Null,0
CIT,WGSC_test,TRUE,2000,Alternative,0.044
CIT,WGSC_test,FALSE,2000,Null,0
CIT,WGSC_test,FALSE,2000,Alternative,0.04
